well,fold,split,cut_idx,native_cut_idx,prefix_rows,eval_rows,prefix_frac,prefix_gr_coverage,eval_gr_coverage,fallback_tvt,method,hidden_compatible_method,router_eligible_method,status,detail,eval_rmse,baseline_rmse,delta_rmse_vs_baseline,holdout_rmse,holdout_delta_rmse_vs_baseline,holdout_status,holdout_detail,pred_std,pred_move_abs_p90,pred_jump_abs_p99,pred_range
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,damped_tail_linear_ASTNU,False,False,ok,damp=0.200;max_move=12.000,5.5882595340033125,4.533036013345726,1.0552235206575862,3.8450737374776165,-0.14945675603884778,ok,damp=0.200;max_move=12.000,3.7574454451489556,12.0,0.010736551770605729,11.808721984996737
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,damped_tail_linear_ASTNL,False,False,ok,damp=0.200;max_move=12.000,5.588259534001519,4.533036013345726,1.055223520655793,3.8450737374778736,-0.14945675603859065,ok,damp=0.200;max_move=12.000,3.7574454451498127,12.0,0.010736551770605729,11.808721984998556
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,damped_tail_linear_EGFDU,False,False,ok,damp=0.200;max_move=12.000,5.588259534002634,4.533036013345726,1.0552235206569076,3.845073737478582,-0.14945675603788233,ok,damp=0.200;max_move=12.000,3.757445445149088,12.0,0.010736551770605729,11.808721984996737
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,damped_tail_linear_EGFDL,False,False,ok,damp=0.200;max_move=12.000,5.588259534003239,4.533036013345726,1.0552235206575125,3.845073737477823,-0.14945675603864128,ok,damp=0.200;max_move=12.000,3.7574454451495187,12.0,0.010736551770605729,11.808721984996737
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,damped_tail_linear_BUDA,False,False,ok,damp=0.200;max_move=12.000,5.588259534003411,4.533036013345726,1.0552235206576848,3.8450737374790456,-0.1494567560374187,ok,damp=0.200;max_move=12.000,3.7574454451493304,12.0,0.010736551770605729,11.808721984996737
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,piecewise_tail_slope_md,True,False,ok,slope=-0.0191569;span=255.000;damp=0.300,3.293455441262694,4.533036013345726,-1.2395805720830322,3.887246889909095,-0.10728360360736922,ok,slope=-0.00126811;span=255.000;damp=0.300,0.9143781137561459,3.5963390017343047,0.005735714838156127,3.592675555473761
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,piecewise_tail_slope_Z,True,False,ok,slope=-0.534524;span=9.390;damp=0.300,3.144628982075522,4.533036013345726,-1.3884070312702042,3.659450153407739,-0.3350803401087252,ok,slope=-0.13853;span=4.190;damp=0.300,1.001582096369444,3.578243062160618,0.006043576050033153,3.5822693214649917
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,fault_step_recent_level,True,False,fallback,step_below_gate;step=-2.4000,4.533036013345726,4.533036013345726,0.0,3.9945304935164643,0.0,fallback,step_below_gate;step=-0.1750,3.637978807091713e-12,0.0,0.0,0.0
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,recent_plateau_quantile,True,True,ok,window=256;quantile=0.500;move=0.770,5.017533539424094,4.533036013345726,0.4844975260783677,3.6645513698714134,-0.3299791236450509,ok,window=256;quantile=0.500;move=-0.530,1.8189894035458565e-12,0.7700000000004366,0.0,0.0
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,self_corr_prefix_shape,True,True,fallback,corr_below_gate;corr=0.6844,4.533036013345726,4.533036013345726,0.0,3.9945304935164643,0.0,fallback,corr_below_gate;corr=0.5987,3.637978807091713e-12,0.0,0.0,0.0
